Sample,Toploader,"n
(cm-2)","μ_xx
(cm^2/Vs)","μ_yy
(cm^2/Vs)",Average μ (cm^2/Vs),mean free path (nm),notes
JS840J,,7.88E+11,6.18E+03,6.87E+04,3.74E+04,548,
JS839J (edge),,7.78E+11,1.97E+03,4.53E+04,2.36E+04,344,
JS839J (center),,1.15E+12,4.19E+03,7.86E+03,6.03E+03,107,
JS838,,5.78E+12,7.71E+02,2.03E+03,1.40E+03,56,
JS837,,5.41E+11,3.17E+04,9.21E+03,2.05E+04,248,
JS836J,,1.09E+12,1.35E+04,8.64E+03,1.11E+04,191,
JS835,,8.15E+11,1.28E+04,1.94E+04,1.61E+04,240,
JS834J,,1.14E+12,1.03E+04,1.64E+04,1.34E+04,235,
JS833J,,1.11E+12,2.89E+04,8.33E+03,1.86E+04,324,
JS832,,1.35E+12,8.90E+03,1.66E+04,1.28E+04,244,
JS831,,1.07E+12,4.11E+04,6.78E+03,2.39E+04,409,
JS830,,1.07E+12,1.48E+04,1.69E+04,1.59E+04,271,
JS829,,1.05E+12,2.48E+04,1.06E+04,1.77E+04,299,
JS828,,9.65E+11,8.07E+03,2.26E+04,1.53E+04,249,
JS827,,4.12E+12,3.80E+03,1.23E+04,8.05E+03,270,
JS826,,6.76E+11,1.35E+04,1.36E+04,1.36E+04,184,
JS825,,7.19E+11,1.23E+04,1.56E+04,1.40E+04,195,0
JS824,,1.49E+12,2.23E+04,6.92E+03,1.46E+04,294,
JS819,,2.02E+12,1.30E+04,9.06E+03,1.10E+04,259,
JS818,,8.48E+11,1.30E+03,3.65E+02,8.33E+02,13,
JS817,,4.31E+11,1.82E+02,1.89E+02,1.86E+02,2,
JS812,,1.05E+14,5.51E+00,2.09E+01,1.32E+01,2,
JS811J,,6.36E+11,2.53E+02,3.16E+03,1.71E+03,22,
JS809J,,4.20E+11,1.68E+04,2.50E+04,2.09E+04,223,
JS808J,,6.78E+11,1.84E+04,7.14E+04,4.49E+04,610,
JS807J,,8.63E+11,3.65E+04,2.37E+04,3.01E+04,461,
JS806J,,2.63E+12,3.90E+04,2.01E+04,2.96E+04,791,
JS805J,,1.44E+12,1.57E+04,2.45E+04,2.01E+04,398,
JS803,,7.68E+11,7.95E+03,5.05E+04,2.92E+04,423,
JS801,,8.34E+11,3.36E+04,1.38E+04,2.37E+04,357,
JS800,,1.43E+12,3.09E+04,8.66E+03,1.98E+04,390,
JS798,,1.59E+12,1.53E+04,1.96E+04,1.75E+04,363,
JS797,,1.77E+12,1.24E+03,2.11E+03,1.68E+03,37,
JS796,,1.75E+12,1.34E+04,2.84E+04,2.09E+04,456,
JS795,,8.87E+11,3.31E+03,1.31E+04,8.21E+03,128,
JS794,,5.51E+11,6.00E+03,1.12E+04,8.60E+03,105,
JS793,,6.01E+11,1.79E+04,3.02E+03,1.05E+04,134,
